ID,Name (in Turkey),Name (in English),Ingredients of a standard portion for a 3-6 year-old child (in Turkey),Ingredients of a standard portion for a 3-6 year-old child (in English),Ingredients of a standard portion for a 7-12 year-old child (in Turkey),Ingredients of a standard portion for a 7-12 year-old child (in English),Ingredients of a standard portion for a 13-15 year-old child (in Turkey),Ingredients of a standard portion for a 13-15 year-old child (in English),Ingredients of a standard portion for a 16-18 year-old child (in Turkey),Ingredients of a standard portion for a 16-18 year-old child (in English),Ingredients of a standard portion for an adult (in Turkey),Ingredients of a standard portion for an adult (in English),Recipe (in Turkey),Recipe (in English),Tip (in Turkey),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses (Legumes),Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,Protein mix,Unique,Semiunique,Vegetables for semi,Red,Green,White,Yellow,Purple,Multicolor,No color,For proposals,For school
267,Yoğurt Çorbası,Yoghurt soup,,,"şehriye: 10 g
taze fesleğen: 2 g
tam buğday unu: 5 g
yumurta: 20 g
yoğurt: 25 g
süt: 50 ml
su: 25 ml
tuz: 0.5 g","noodle: 10 g
fresh basil: 2 g
whole wheat flour: 5 g
egg: 20 g
yogurt: 25 g
milk: 50 ml
water: 25 ml
salt: 0.5 g","şehriye: 15 g
taze fesleğen: 5 g
tam buğday unu: 8 g
yumurta: 30 g
yoğurt: 50 g
süt: 100 ml
su: 50 ml
tuz: 1 g","noodle: 15 g
fresh basil: 5 g
whole wheat flour: 8 g
egg: 30 g
yogurt: 50 g
milk: 100 ml
water: 50 ml
salt: 1 g","şehriye: 15 g
taze fesleğen: 5 g
tam buğday unu: 8 g
yumurta: 30 g
yoğurt: 50 g
süt: 100 ml
su: 50 ml
tuz: 1 g","noodle: 15 g
fresh basil: 5 g
whole wheat flour: 8 g
egg: 30 g
yogurt: 50 g
milk: 100 ml
water: 50 ml
salt: 1 g","şehriye: 15 g
taze fesleğen: 5 g
tam buğday unu: 8 g
yumurta: 30 g
yoğurt: 50 g
süt: 100 ml
su: 50 ml
tuz: 1 g","noodle: 15 g
fresh basil: 5 g
whole wheat flour: 8 g
egg: 30 g
yogurt: 50 g
milk: 100 ml
water: 50 ml
salt: 1 g","Yumurta, yoğurdu ve sütü çırpın. Üzerine un ekleyip karıştırın. Üzerine su ekleyin. Şehriye ekleyin. Şehriyeler pişince tuzu ekleyin. Çorba pişince üzerine fesleğenleri ekleyin.","Whisk eggs, yogurt and milk. Add flour and mix it. Add water to it. Add the noodle. Add the salt when the noodles are cooked. When the soup is cooked, add the basil.",,,252,12.6,6.5,35.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
268,Türlü Yemeği,Kinds of vegetable dish,,,"kabak: 25 g
patlıcan: 25 g
patates: 25 g
soğan: 10 g
domates: 25 g
salça: 1 g
zeytinyağı: 5 ml
su: 10 ml
tuz: 1 g
karabiber: 0.5 g","zucchini: 25 g
eggplant: 25 g
potatoes: 25 g
onion: 10 g
tomatoes: 25 g
tomato paste: 1 g
olive oil: 5 ml
water: 10 ml
salt: 1 g
black pepper: 0.5 g","kabak: 50 g
patlıcan: 50 g
patates: 50 g
soğan: 25 g
domates: 50 g
salça: 2 g
zeytinyağı: 10 ml
su: 20 ml
tuz: 2 g
karabiber: 1 g","zucchini: 50 g
eggplant: 50 g
potatoes: 50 g
onion: 25 g
tomatoes: 50 g
tomato paste: 2 g
olive oil: 10 ml
water: 20 ml
salt: 2 g
black pepper: 1 g","kabak: 50 g
patlıcan: 50 g
patates: 50 g
soğan: 25 g
domates: 50 g
salça: 2 g
zeytinyağı: 10 ml
su: 20 ml
tuz: 2 g
karabiber: 1 g","zucchini: 50 g
eggplant: 50 g
potatoes: 50 g
onion: 25 g
tomatoes: 50 g
tomato paste: 2 g
olive oil: 10 ml
water: 20 ml
salt: 2 g
black pepper: 1 g","kabak: 50 g
patlıcan: 50 g
patates: 50 g
soğan: 25 g
domates: 50 g
salça: 2 g
zeytinyağı: 10 ml
su: 20 ml
tuz: 2 g
karabiber: 1 g","zucchini: 50 g
eggplant: 50 g
potatoes: 50 g
onion: 25 g
tomatoes: 50 g
tomato paste: 2 g
olive oil: 10 ml
water: 20 ml
salt: 2 g
black pepper: 1 g",Sebzeleri yıkayıp doğrayın. Yağda soğanları kavurun. Üzerine malzemeleri ekleyin. Orta ateşte pişirin.,Wash and chop the vegetables. Fry the onions in oil. Add the ingredients to it. Cook on medium heat.,,,230,6,16,15,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
269,Kabak Mantısı,Zucchini ravioli,,,"kabak: 30 g
kıyma: 20 g
kapya biber: 10 g
soğan: 10 g
yoğurt: 20 g
zeytinyağı: 2 ml
tuz: 0.5 g","zucchini: 30 g
minced meat: 20 g
capia pepper: 10 g
onion: 10 g
yogurt: 20 g
olive oil: 2 ml
salt: 0.5 g","kabak: 60 g
kıyma: 30 g
kapya biber: 20 g
soğan: 20 g
yoğurt: 40 g
zeytinyağı: 5 ml
tuz: 1 g","zucchini: 60 g
minced meat: 30 g
capia pepper: 20 g
onion: 20 g
yogurt: 40 g
olive oil: 5 ml
salt: 1 g","kabak: 60 g
kıyma: 30 g
kapya biber: 20 g
soğan: 20 g
yoğurt: 40 g
zeytinyağı: 5 ml
tuz: 1 g","zucchini: 60 g
minced meat: 30 g
capia pepper: 20 g
onion: 20 g
yogurt: 40 g
olive oil: 5 ml
salt: 1 g","kabak: 60 g
kıyma: 30 g
kapya biber: 20 g
soğan: 20 g
yoğurt: 40 g
zeytinyağı: 5 ml
tuz: 1 g","zucchini: 60 g
minced meat: 30 g
capia pepper: 20 g
onion: 20 g
yogurt: 40 g
olive oil: 5 ml
salt: 1 g","Kabağı soymadan halka şeklinde doğrayın. Kapya biberi de halka şeklinde doğrayın. Kabağı ve biberi zeytinyağında soteleyin, biraz tuz ekleyin. Servis tabağına alın. Kıyma ve soğanı yağsız bir şekilde kavurun. Tuz ekleyip kabağın üstüne gezdirin. Üzerine yoğurt ekleyin.","Cut the zucchini into rings without peeling it. Chop the capia pepper into rings. Saute the zucchini and pepper in olive oil, add a little salt. Remove to serving plate. Fry the minced meat and onion without oil. Add salt and drizzle over the squash. Add yogurt to it.",,,200,10,12,12.5,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
270,İç Pilav,Stuffed rice,,,"soğan: 10 g
kuş üzümü: 1 g
dolmalık fıstık: 0.5 g
dereotu: 5 g
pirinç: 10 g
tuz: 0.5 g
karabiber: 0.5 g
tarçın: 0.5 g
su: 25 ml
zeytinyağı: 1 ml","onion: 10 g
currants: 1 g
pine nuts: 0.5 g
dill: 5 g
rice: 10 g
salt: 0.5 g
black pepper: 0.5 g
cinnamon: 0.5 g
water: 25 ml
olive oil: 1 ml","soğan: 15 g
kuş üzümü: 2 g
dolmalık fıstık: 1 g
dereotu: 10 g
pirinç: 25 g
tuz: 1 g
karabiber: 1 g
tarçın: 1 g
su: 50 ml
zeytinyağı: 3 ml","onion: 15 g
currants: 2 g
pine nuts: 1 g
dill: 10 g
rice: 25 g
salt: 1 g
black pepper: 1 g
cinnamon: 1 g
water: 50 ml
olive oil: 3 ml","soğan: 15 g
kuş üzümü: 2 g
dolmalık fıstık: 1 g
dereotu: 10 g
pirinç: 25 g
tuz: 1 g
karabiber: 1 g
tarçın: 1 g
su: 50 ml
zeytinyağı: 3 ml","onion: 15 g
currants: 2 g
pine nuts: 1 g
dill: 10 g
rice: 25 g
salt: 1 g
black pepper: 1 g
cinnamon: 1 g
water: 50 ml
olive oil: 3 ml","soğan: 15 g
kuş üzümü: 2 g
dolmalık fıstık: 1 g
dereotu: 10 g
pirinç: 25 g
tuz: 1 g
karabiber: 1 g
tarçın: 1 g
su: 50 ml
zeytinyağı: 3 ml","onion: 15 g
currants: 2 g
pine nuts: 1 g
dill: 10 g
rice: 25 g
salt: 1 g
black pepper: 1 g
cinnamon: 1 g
water: 50 ml
olive oil: 3 ml","Soğanları yağda kavurun. Soğanlara, ayıklanıp, yıkanmış kuş üzümünü ve çam fıstıklarını ekleyerek biraz soteleyin. Suyunu koyun, tuz ve baharatları ilave edin, kaynamaya bırakın. Diğer tarafta, pirinci ayıklayın, yıkayın. Su kaynayınca pirinci ekleyin, karıştırın. Ocağın altını kısın. İnce kıyılmış dereotlarını da ekleyip karıştırın. Kısık ateşte pişirin.","Fry the onions in oil. Add the cleaned and washed currants and pine nuts to the onions and sauté a little. Put the water, add salt and spices, let it boil. On the other side, sort the rice, wash it. When the water boils, add the rice and mix. Turn the stove down. Add the finely chopped dill and mix. Cook on low heat.",,,139,2.6,2.5,26,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
271,Yarım Yağlı Süt,Semi fat milk,,,150 ml,150 ml,200 ml,200 ml,250 ml,250 ml,250 ml,250 ml,,,,,100,6.6,4,9.6,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
272,Şeftali Suyu,Peach juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,,,,,,,180,,,45,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
273,Kiraz,Cherry,,,75 g,75 g,100 g,100 g,150 g,150 g,180 g,180 g,,,,,120,,,30,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
274,Limonata,Lemonade,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,180,,,45,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
275,Nar Suyu,Pomegranate juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,180,,,45,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
276,Böğürtlen Suyu,Blackberry juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,180,,,45,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
277,Karadut Suyu,Black mulberry juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,180,,,45,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
278,Yeşil Zeytin,Green olive,,,30 g,30 g,40 g,40 g,50 g,50 g,50 g,50 g,,,,,75,,8.3,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
279,Lor Peyniri,Cheese curd,,,30 g,30 g,45 g,45 g,60 g,60 g,60 g,60 g,,,,,40,2,2,3,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
280,Siyez Ekmeği,Einkorn bread,,,25g,25g,40g,40g,50g,50g,50g,50g,,,,,136,4,,30,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
281,Kaşarlı Sandviç,cheddar sandwich,,,"ekmek: 40 g
kaşar: 20 g","bread: 40 g
cheddar: 20 g","ekmek: 50 g
kaşar: 20 g"," bread: 50 g
cheddar: 20 g","ekmek: 75 g
kaşar: 40 g","bread: 75 g
cheddar: 40 g","ekmek: 75 g
kaşar: 40 g","bread: 75 g
cheddar: 40 g",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
282,Kuşburnu Çayı,Rosehip tea,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,,,,,side,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
283,Kıymalı Erişte,Pasta with minced meat,,,"Kıyma:45g. 
Erişte:150 g.
Zeytinyağı:5g.
Salça:5g.
Tuz:1g.","Minched meat:45g. 
Pasta:150g. 
Olive Oil:5g.
Tomato paste:5g.
Salt:1g.","Kıyma:45g. 
Erişte: 150g. 
Zeytinyağı:5g.
Salça:5g.
Tuz:1g.","Minched Meat:45g.
 Pasta: 150g. 
Olive Oil:5g.
Tomato paste:5g
Salt:1g.","Kıyma:80g. 
Erişte:200g. 
Zeytinyağı:7g.
Salça:7g.
Tuz:2g.","Minched Meat:80g.
 Pasta:200g.
 Olive Oil:7g.
Tomato Paste: 7g.
Tuz:2g.","Kıyma:80g. 
Erişte:200g. 
Zeytinyağı:7g.
Salça:7g.
Tuz:2g.","Minched Meat:80g.
 Pasta:200g.
 Olive Oil:7g.
Tomato Paste: 7g.
Tuz:2g.","Kıymayı az su ile sotele, zeytinyağı ve salçayı ekle karıştır, erişteleri ve suyu ekle, suyu çekene kadar pişir.","Saute the minched meat with a little amount of water, add tomato paste and olive oil and saute them together. Then add pasta and water and cook till it takes all the water.",,,297,15,13,30,first,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
284,Patatesli yumurta,Omlette with potato,,,"Yumurta:30g. 
Patates: 100g. 
Zeytinyağı: 5g.
Tuz:1g.","Egg:30g. 
Potato:100g. 
Olive oil:5g.
Salt:1g.","Yumurta:30g. 
Patates: 100g. 
Zeytinyağı: 5g.
Tuz:1g..","Egg:30g. 
Potato:100g. 
Olive oil:5g.
Salt:1g","Yumurta:60g.
Patates:200g. 
Zeytinyağı:10g. 
Tuz:2g.","egg:60g.
Potato:200g.
Olive oil:10g.
Salt:2g.","Yumurta:60g.
Patates:200g. 
Zeytinyağı:10g.
Tuz:2g.","egg:60g.
Potato:200g.
Olive oil:10g.
Salt:2g.","Küp şeklinde doğranmış patatesleri bir tavada zeytinyağı ile sotele.Tuz ekle, kapağını kapat, patatesler yumuşuncaya kadar pişir. Üzerine çırpılmış yumurtaları ekle ve pişir. ",Saute the diced potatoes wiith olive oil in a pan. Add salt and put the lid on. Cook till the potatoes soften. Then add scrambled egg and cook as omelette.,,,137,8,5,15,first,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
285,Söğüş sebze,Mix vegatables,,,"Domates:85g.
Salatalık: 50g","Tomato:85g. 
Cucumber:50g.","Domates:85g.
Salatalık: 50g","Tomato:85g. 
Cucumber:50g.","Domates:110g. 
Salatalık:100g.","Tomato:110g. 
Cucumber:100g.","Domates:110g. 
Salatalık:100g.","Tomato:110g. 
Cucumber:100g.",Sebzeleri iri parçalar halinde doğra.,Chop the vegetables with big slices,,,28,,,7,second,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
286,Zeytinli poğaça,Pogaca with olive,,,"Tam tahıl unu:30g.
Yumurta:5g.
Yoğurt:5g. 
Zeytinyağı:5g.
Tuz:1g.
Kabartma Tozu:1g. 
Siyah Zeytin:5g.","Whole grain flour:30g.
Egg:5g.
Yoghurt:5g. 
Olive oil:5g.
Salt:1g.
Baking powder:1g. 
Black olive:5g.","Tam tahıl unu:30g.
Yumurta:5g.
Yoğurt:5g. 
Zeytinyağı:5g.
Tuz:1g.
Kabartma Tozu:1g. 
Siyah Zeytin:5g.","Whole grain flour:30g.
Egg:5g.
Yoghurt:5g. 
Olive oil:5g.
Salt:1g.
Baking powder:1g. 
Black olive:5g.","Tam tahıl unu:60g.
Yumurta:10g.
Yoğurt:10g. 
Zeytinyağı:10g.
Tuz:2g.
Kabartma Tozu:2g. 
Siyah Zeytin:10g.","Whole grain flour:60g.
Egg:10g.
Yoghurt:10g.
Olive oil:10g.
Salt:2g.
Baking powder:2g. 
Black olive:10g.","Tam tahıl unu:60g.
Yumurta:10g.
Yoğurt:10g. 
Zeytinyağı:10g.
Tuz:2g.
Kabartma Tozu:2g. 
Siyah Zeytin:10g.","Whole grain flour:60g.
Egg:10g.
Yoghurt:10g.
Olive oil:10g.
Salt:2g.
Baking powder:2g. 
Black olive:10g.","Un, yoğurt, yumurta, az miktarda su, tuz, ve kabartma tozu karıştırılarak hamur yap. Bu hamurdan küçük toplar şeklinde parçalar kopararak avuç içinde aç. İçine zeytini yerleştir ve 180C fırında 30 dk. pişir.","Make a dough with flour,egg, yoghurt, salt, olive oil and baking powder. Make little balls with the dough. Take one and press between palms. Put olives inside and give a ball shape again. Bake 30 min. 180C",,,397,8,25,35,first,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
287,Yarım yağlı Kefir,Semi fat kefir,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,114,6,6,9,semi,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
288,Peynirli Omlet,Omelette with cheese,,,"Yumurta:30g. 
Peynir: 30g. 
Zeytinyağı: 5g.
Tuz:1g.","Egg:30g. 
Cheese:30g. 
Olive oil:5g.
Salt:1g.","Yumurta:30g. 
Peynir: 30g. 
Zeytinyağı: 5g.
Tuz:1g.","Egg:30g. 
Cheese:30g. 
Olive oil:5g.
Salt:1g.","Yumurta:60g.
Peynir:30g. 
Zeytinyağı:10g. 
Tuz:2g.","egg:60g.
Cheese:30g.
Olive oil:10g.
Salt:2g.","Yumurta:60g.
Peynir:30g. 
Zeytinyağı:10g. 
Tuz:2g.","egg:60g.
Cheese:30g.
Olive oil:10g.
Salt:2g.","Küp şeklinde doğranmış peyniri, yumurtayı, tuzu birlikte çırp ve zeytinyağı ile tavada pişir.",Scramble egg with chopped cheese and salt. Cook in a pan with olive oil as omelette.,,,93,12,5,,first,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
289,Mandalina suyu,Mandarin juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,120,,,30,side,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
290,Tarçınlı krep,Crepe with cinnamon ,,,"Un:10g 
Süt:10g.
Yumurta:5g.
Tuz:1g.
Tarçın:1g. 
Zeytinyağı:3g.","Wholegrain flour:10g.
Milk:10g.
Egg:5g.
Salt:1g.
Cinnamon:1g.
Olive oil:3g.","Un:10g 
Süt:10g.
Yumurta:5g.
Tuz:1g.
Tarçın:1g. 
Zeytinyağı:3g.","Wholegrain flour:10g.
Milk:10g.
Egg:5g.
Salt:1g.
Cinnamon:1g.
Olive oil:3g.","Un:20g 
Süt:20g.
Yumurta:10g.
Tuz:2g.
Tarçın:2g.
 Zeytinyağı:5 g.","Wholegrain flour:20g.
Milk:20g.
Egg:10g.
Salt:2g.
Cinnamon:2g.
Olive oil:5g.","Un:20g 
Süt:20g.
Yumurta:10g.
Tuz:2g.
Tarçın:2g.
 Zeytinyağı:5 g.","Wholegrain flour:20g.
Milk:20g.
Egg:10g.
Salt:2g.
Cinnamon:2g.
Olive oil:5g.","Un, yumurta, süt, tuz ve tarçın ile sıvı karışım hazırla. Tavayı ısıt, zeytinyağını ekle ve karışımı tavaya dök. Bir yüzü katılaşınca diğer yüzü çevir ve her iki yüzü de pişir.","Prepare a texture with whole grain flour, egg, milk, salt and cinnamon. Heat the pan, put olive oil, and pour the texture. When it sets, turn the other side and cook both sides.",,,194,5,6,30,bread,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
291,Siyah zeytin,Black olive,,,20 g,20 g,30 g,30 g,40 g,40 g,40 g,40 g,,,,,45,,5,,side,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
292,Süzme peynir,Cottage cheese,,,20 g,20 g,20 g,20 g,40 g,40 g,40 g,40 g,,,,,69,6,5,,side,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
